,shooting,year,month,day,date
1790,1,2017,12,18,12-18
1791,1,2016,04,04,04-04
1792,1,2016,05,23,05-23
1793,1,2015,07,15,07-15
1794,1,2016,01,26,01-26
1795,1,2016,08,20,08-20
1796,1,2018,10,16,10-16
1797,1,2019,12,18,12-18
1798,1,2018,09,01,09-01
1799,1,2016,09,14,09-14
1800,1,2020,08,30,08-30
1801,1,2020,12,21,12-21
1802,1,2020,03,29,03-29
1803,1,2018,05,22,05-22
1804,1,2018,09,23,09-23
1805,1,2017,01,27,01-27
1806,1,2017,04,03,04-03
1807,1,2016,07,09,07-09
1808,1,2018,04,15,04-15
1809,1,2020,09,20,09-20
1810,1,2017,04,23,04-23
1811,1,2019,04,05,04-05
1812,1,2018,12,29,12-29
1813,1,2021,01,22,01-22
1814,1,2016,05,17,05-17
1815,1,2019,02,24,02-24
1816,1,2016,12,16,12-16
1817,1,2019,05,10,05-10
1818,1,2018,06,10,06-10
1819,1,2015,02,24,02-24
1820,1,2016,01,21,01-21
1821,1,2016,08,26,08-26
1822,1,2019,05,06,05-06
1823,1,2015,09,30,09-30
1824,1,2015,08,10,08-10
1825,1,2016,11,24,11-24
1826,1,2015,01,20,01-20
1827,1,2017,10,17,10-17
1828,1,2019,06,14,06-14
1829,1,2018,02,12,02-12
1830,1,2018,05,28,05-28
1831,1,2020,11,06,11-06
1832,1,2020,07,19,07-19
1833,1,2018,02,04,02-04
1834,1,2015,11,28,11-28
1835,1,2021,06,12,06-12
1836,1,2019,07,08,07-08
1837,1,2019,06,07,06-07
1838,1,2021,04,27,04-27
1839,1,2019,08,24,08-24
1840,1,2020,05,13,05-13
1841,1,2021,06,20,06-20
1842,1,2019,03,18,03-18
1843,1,2019,08,06,08-06
1844,1,2019,03,03,03-03
1845,1,2020,08,12,08-12
1846,1,2016,10,15,10-15
1847,1,2020,03,10,03-10
1848,1,2017,01,13,01-13
1849,1,2018,08,26,08-26
1850,1,2016,04,14,04-14
1851,1,2016,08,21,08-21
1852,1,2015,02,05,02-05
1853,1,2018,01,13,01-13
1854,1,2015,11,14,11-14
1855,1,2019,03,08,03-08
1856,1,2020,03,17,03-17
1857,1,2020,03,22,03-22
1858,1,2016,01,01,01-01
1859,1,2016,12,15,12-15
1860,1,2021,03,06,03-06
1861,1,2016,05,16,05-16
1862,1,2017,06,03,06-03
1863,1,2017,12,04,12-04
1864,1,2020,01,19,01-19
1865,1,2015,06,12,06-12
1866,1,2019,10,09,10-09
1867,1,2016,10,24,10-24
1868,1,2015,04,20,04-20
1869,1,2019,01,21,01-21
1870,1,2017,04,17,04-17
1871,1,2019,07,06,07-06
1872,1,2020,11,25,11-25
1873,1,2020,02,15,02-15
1874,1,2018,01,14,01-14
1875,1,2018,11,24,11-24
1876,1,2017,03,25,03-25
1877,1,2020,08,27,08-27
1878,1,2018,09,06,09-06
1879,1,2017,11,25,11-25
1880,1,2018,09,11,09-11
1881,1,2015,03,02,03-02
1882,1,2016,11,30,11-30
1883,1,2016,07,18,07-18
1884,1,2015,07,11,07-11
1885,1,2017,10,10,10-10
1886,1,2020,05,12,05-12
1887,1,2020,11,18,11-18
1888,1,2017,05,06,05-06
1889,1,2016,05,10,05-10
1890,1,2019,02,01,02-01
1891,1,2017,10,27,10-27
1892,1,2020,06,21,06-21
1893,1,2017,08,19,08-19
1894,1,2015,10,25,10-25
1895,1,2017,04,08,04-08
1896,1,2021,03,01,03-01
1897,1,2019,05,05,05-05
1898,1,2019,07,27,07-27
1899,1,2015,12,25,12-25
1900,1,2017,01,20,01-20
1901,1,2020,06,15,06-15
1902,1,2018,12,08,12-08
1903,1,2018,09,13,09-13
1904,1,2016,11,09,11-09
1905,1,2017,08,09,08-09
1906,1,2019,11,24,11-24
1907,1,2020,04,14,04-14
1908,1,2015,02,18,02-18
1909,1,2018,03,17,03-17
1910,1,2015,12,15,12-15
1911,1,2019,11,08,11-08
1912,1,2019,01,20,01-20
1913,1,2018,02,24,02-24
1914,1,2016,01,23,01-23
1915,1,2018,09,10,09-10
1916,1,2015,03,12,03-12
1917,1,2019,10,22,10-22
1918,1,2015,03,15,03-15
1919,1,2015,01,03,01-03
1920,1,2016,09,21,09-21
1921,1,2017,10,07,10-07
1922,1,2015,09,16,09-16
1923,1,2018,05,16,05-16
1924,1,2015,10,19,10-19
1925,1,2015,04,07,04-07
1926,1,2019,07,30,07-30
1927,1,2015,11,02,11-02
1928,1,2017,10,30,10-30
1929,1,2015,01,05,01-05
1930,1,2021,04,04,04-04
1931,1,2016,04,25,04-25
1932,1,2015,06,15,06-15
1933,1,2018,09,22,09-22
1934,1,2020,09,29,09-29
1935,1,2016,02,29,02-29
1936,1,2020,07,27,07-27
1937,1,2018,10,15,10-15
1938,1,2015,12,28,12-28
1939,1,2016,05,06,05-06
1940,1,2019,09,22,09-22
1941,1,2015,06,20,06-20
1942,1,2020,06,28,06-28
1943,1,2016,02,02,02-02
1944,1,2015,02,06,02-06
1945,1,2019,04,02,04-02
1946,1,2019,05,29,05-29
1947,1,2021,04,08,04-08
1948,1,2018,11,26,11-26
1949,1,2015,04,27,04-27
1950,1,2015,12,23,12-23
1951,1,2015,02,27,02-27
1952,1,2018,11,10,11-10
1953,1,2021,02,23,02-23
1954,1,2016,05,31,05-31
1955,1,2018,09,07,09-07
1956,1,2016,05,13,05-13
1957,1,2020,08,28,08-28
1958,1,2021,03,15,03-15
1959,1,2019,01,27,01-27
1960,1,2021,04,22,04-22
1961,1,2016,05,27,05-27
1962,1,2017,04,21,04-21
1963,1,2017,06,26,06-26
1964,1,2020,09,25,09-25
1965,1,2016,02,27,02-27
1966,1,2015,06,29,06-29
1967,1,2015,12,16,12-16
1968,1,2016,12,28,12-28
1969,1,2017,04,19,04-19
1970,1,2021,05,15,05-15
1971,1,2018,11,06,11-06
1972,1,2019,04,08,04-08
1973,1,2021,06,11,06-11
1974,1,2019,10,04,10-04
1975,1,2020,04,04,04-04
1976,1,2017,08,26,08-26
1977,1,2015,04,13,04-13
1978,1,2019,09,06,09-06
1979,1,2015,10,07,10-07
1980,1,2017,04,07,04-07
1981,1,2021,03,04,03-04
1982,1,2017,07,02,07-02
1983,1,2015,09,08,09-08
1984,1,2021,05,25,05-25
1985,1,2015,09,07,09-07
1986,1,2016,11,26,11-26
1987,1,2016,06,08,06-08
1988,1,2020,07,09,07-09
1989,1,2018,05,17,05-17
1990,1,2017,05,01,05-01
1991,1,2017,06,22,06-22
1992,1,2018,08,11,08-11
1993,1,2019,01,22,01-22
1994,1,2021,02,12,02-12
1995,1,2021,06,03,06-03
1996,1,2017,06,15,06-15
1997,1,2019,02,15,02-15
1998,1,2015,11,03,11-03
1999,1,2015,06,27,06-27
2000,1,2019,06,23,06-23
2001,1,2016,04,21,04-21
2002,1,2017,11,20,11-20
2003,1,2020,04,25,04-25
2004,1,2016,10,22,10-22
2005,1,2019,06,02,06-02
2006,1,2020,02,22,02-22
2007,1,2015,01,19,01-19
2008,1,2016,01,25,01-25
2009,1,2021,02,22,02-22
2010,1,2021,05,07,05-07
2011,1,2015,04,16,04-16
2012,1,2020,02,28,02-28
2013,1,2015,05,02,05-02
2014,1,2020,04,01,04-01
2015,1,2016,07,08,07-08
2016,1,2015,10,06,10-06
2017,1,2016,05,15,05-15
2018,1,2017,03,10,03-10
2019,1,2020,08,05,08-05
2020,1,2019,09,10,09-10
2021,1,2015,04,03,04-03
2022,1,2015,06,30,06-30
2023,1,2020,08,01,08-01
2024,1,2020,07,18,07-18
2025,1,2015,06,18,06-18
2026,1,2016,05,08,05-08
2027,1,2015,06,10,06-10
2028,1,2020,11,23,11-23
2029,1,2016,09,11,09-11
2030,1,2017,05,04,05-04
2031,1,2019,03,11,03-11
2032,1,2016,11,07,11-07
2033,1,2018,10,24,10-24
2034,1,2020,01,17,01-17
2035,1,2015,06,28,06-28
2036,1,2016,03,08,03-08
2037,1,2018,11,16,11-16
2038,1,2017,05,22,05-22
2039,1,2018,01,19,01-19
2040,1,2015,12,11,12-11
2041,1,2016,07,22,07-22
2042,1,2017,04,12,04-12
2043,1,2017,10,18,10-18
2044,1,2017,06,01,06-01
2045,1,2021,01,29,01-29
2046,1,2018,05,12,05-12
2047,1,2021,05,06,05-06
2048,1,2016,08,23,08-23
2049,1,2018,03,15,03-15
2050,1,2020,12,27,12-27
2051,1,2016,07,20,07-20
2052,1,2021,05,02,05-02
2053,1,2017,11,16,11-16
2054,1,2018,11,08,11-08
2055,1,2020,01,14,01-14
2056,1,2018,03,13,03-13
2057,1,2015,09,02,09-02
2058,1,2017,05,25,05-25
2059,1,2020,09,28,09-28
2060,1,2017,05,30,05-30
2061,1,2018,08,10,08-10
2062,1,2020,05,11,05-11
2063,1,2020,07,01,07-01
2064,1,2018,01,30,01-30
2065,1,2016,11,01,11-01
2066,1,2019,08,29,08-29
2067,1,2016,07,10,07-10
2068,1,2019,08,11,08-11
2069,1,2017,04,18,04-18
2070,1,2018,08,17,08-17
2071,1,2018,06,27,06-27
2072,1,2015,11,27,11-27
2073,1,2018,09,08,09-08
2074,1,2016,12,03,12-03
2075,1,2017,05,17,05-17
2076,1,2018,05,20,05-20
2077,1,2018,01,10,01-10
2078,1,2018,12,04,12-04
2079,1,2020,09,07,09-07
2080,1,2020,09,13,09-13
2081,1,2019,03,17,03-17
2082,1,2015,11,26,11-26
2083,1,2016,12,19,12-19
2084,1,2018,09,28,09-28
2085,1,2018,01,18,01-18
2086,1,2019,08,15,08-15
2087,1,2015,12,03,12-03
2088,1,2019,07,25,07-25
2089,1,2017,03,30,03-30
2090,1,2017,10,03,10-03
2091,1,2018,05,26,05-26
2092,1,2020,02,03,02-03
2093,1,2019,04,15,04-15
2094,1,2021,03,21,03-21
2095,1,2015,05,22,05-22
2096,1,2020,08,03,08-03
2097,1,2019,01,18,01-18
2098,1,2019,10,05,10-05
2099,1,2015,06,01,06-01
2100,1,2016,04,29,04-29
2101,1,2018,03,26,03-26
2102,1,2018,05,09,05-09
2103,1,2018,02,18,02-18
2104,1,2018,02,07,02-07
2105,1,2016,12,22,12-22
2106,1,2020,02,23,02-23
2107,1,2020,09,17,09-17
2108,1,2016,09,29,09-29
2109,1,2017,12,29,12-29
2110,1,2019,11,27,11-27
2111,1,2019,08,07,08-07
2112,1,2015,03,23,03-23
2113,1,2016,04,16,04-16
2114,1,2015,05,04,05-04
2115,1,2017,03,01,03-01
2116,1,2016,08,28,08-28
2117,1,2015,10,27,10-27
2118,1,2018,01,03,01-03
2119,1,2015,08,02,08-02
2120,1,2018,01,09,01-09
2121,1,2020,10,25,10-25
2122,1,2017,04,16,04-16
2123,1,2016,09,25,09-25
2124,1,2016,05,03,05-03
2125,1,2018,07,30,07-30
2126,1,2020,09,11,09-11
2127,1,2016,02,17,02-17
2128,1,2018,10,03,10-03
2129,1,2017,09,16,09-16
2130,1,2020,10,05,10-05
2131,1,2015,02,22,02-22
2132,1,2020,07,03,07-03
2133,1,2017,09,18,09-18
2134,1,2018,06,15,06-15
2135,1,2016,12,29,12-29
2136,1,2019,12,09,12-09
2137,1,2019,05,14,05-14
2138,1,2017,09,13,09-13
2139,1,2017,06,11,06-11
2140,1,2016,08,22,08-22
2141,1,2015,12,19,12-19
2142,1,2020,08,23,08-23
2143,1,2015,05,06,05-06
2144,1,2016,10,20,10-20
2145,1,2017,09,09,09-09
2146,1,2019,11,30,11-30
2147,1,2015,07,28,07-28
2148,1,2019,12,08,12-08
2149,1,2016,12,08,12-08
2150,1,2017,07,24,07-24
2151,1,2018,12,24,12-24
2152,1,2021,01,16,01-16
2153,1,2020,02,06,02-06
2154,1,2020,09,27,09-27
2155,1,2021,01,07,01-07
2156,1,2017,12,14,12-14
2157,1,2020,09,01,09-01
2158,1,2015,11,21,11-21
2159,1,2017,01,08,01-08
2160,1,2021,05,12,05-12
2161,1,2016,06,05,06-05
2162,1,2016,07,15,07-15
2163,1,2020,06,20,06-20
2164,1,2015,12,31,12-31
2165,1,2018,06,04,06-04
2166,1,2016,05,02,05-02
2167,1,2020,12,19,12-19
2168,1,2017,09,14,09-14
2169,1,2018,09,04,09-04
2170,1,2016,05,20,05-20
2171,1,2019,02,05,02-05
2172,1,2020,02,19,02-19
2173,1,2020,07,26,07-26
2174,1,2016,08,17,08-17
2175,1,2015,03,07,03-07
2176,1,2019,04,21,04-21
2177,1,2015,05,16,05-16
2178,1,2017,11,12,11-12
2179,1,2019,07,29,07-29
2180,1,2017,08,15,08-15
2181,1,2018,05,15,05-15
2182,1,2020,01,07,01-07
2183,1,2021,04,11,04-11
2184,1,2020,05,10,05-10
2185,1,2017,08,23,08-23
2186,1,2017,01,31,01-31
2187,1,2016,01,03,01-03
2188,1,2019,10,28,10-28
2189,1,2015,09,03,09-03
