,shooting,year,month,day,date
1152,3,2019,01,02,01-02
1153,3,2017,03,24,03-24
1154,3,2016,03,30,03-30
1155,3,2016,09,09,09-09
1156,3,2015,10,22,10-22
1157,3,2020,11,02,11-02
1158,3,2019,12,30,12-30
1159,3,2021,05,30,05-30
1160,3,2020,09,19,09-19
1161,3,2021,04,06,04-06
1162,3,2015,04,17,04-17
1163,3,2020,10,30,10-30
1164,3,2021,04,05,04-05
1165,3,2016,09,19,09-19
1166,3,2020,10,12,10-12
1167,3,2017,05,29,05-29
1168,3,2015,12,18,12-18
1169,3,2019,12,20,12-20
1170,3,2019,08,28,08-28
1171,3,2020,05,20,05-20
1172,3,2019,01,19,01-19
1173,3,2018,05,27,05-27
1174,3,2018,07,23,07-23
1175,3,2019,12,24,12-24
1176,3,2020,12,25,12-25
1177,3,2019,01,07,01-07
1178,3,2015,04,23,04-23
1179,3,2018,05,18,05-18
1180,3,2017,08,18,08-18
1181,3,2016,02,08,02-08
1182,3,2021,02,02,02-02
1183,3,2016,12,09,12-09
1184,3,2016,05,18,05-18
1185,3,2018,02,25,02-25
1186,3,2021,02,01,02-01
1187,3,2017,09,26,09-26
1188,3,2016,07,31,07-31
1189,2,2020,06,05,06-05
1190,2,2016,04,01,04-01
1191,2,2020,03,25,03-25
1192,2,2020,03,30,03-30
1193,2,2021,02,14,02-14
1194,2,2019,05,31,05-31
1195,2,2016,12,04,12-04
1196,2,2018,09,25,09-25
1197,2,2019,09,01,09-01
1198,2,2020,12,15,12-15
1199,2,2017,01,06,01-06
1200,2,2020,06,16,06-16
1201,2,2015,07,26,07-26
1202,2,2019,09,25,09-25
1203,2,2015,09,29,09-29
1204,2,2020,09,04,09-04
1205,2,2018,03,31,03-31
1206,2,2015,05,25,05-25
1207,2,2015,04,01,04-01
1208,2,2020,04,19,04-19
1209,2,2019,02,10,02-10
1210,2,2017,08,11,08-11
1211,2,2019,08,12,08-12
1212,2,2016,07,21,07-21
1213,2,2015,06,14,06-14
1214,2,2017,01,09,01-09
1215,2,2016,06,19,06-19
1216,2,2020,03,23,03-23
1217,2,2019,07,10,07-10
1218,2,2015,02,09,02-09
1219,2,2016,11,12,11-12
1220,2,2019,02,25,02-25
1221,2,2017,11,13,11-13
1222,2,2016,08,15,08-15
1223,2,2017,05,31,05-31
1224,2,2017,10,14,10-14
1225,2,2017,01,17,01-17
1226,2,2020,12,14,12-14
1227,2,2017,12,02,12-02
1228,2,2015,12,17,12-17
1229,2,2020,01,25,01-25
1230,2,2021,01,02,01-02
1231,2,2020,08,20,08-20
1232,2,2020,06,19,06-19
1233,2,2020,08,22,08-22
1234,2,2015,12,20,12-20
1235,2,2017,12,31,12-31
1236,2,2015,06,26,06-26
1237,2,2018,02,05,02-05
1238,2,2019,08,23,08-23
1239,2,2015,09,17,09-17
1240,2,2017,06,17,06-17
1241,2,2015,03,16,03-16
1242,2,2015,06,02,06-02
1243,2,2015,03,29,03-29
1244,2,2016,09,05,09-05
1245,2,2019,08,10,08-10
1246,2,2021,02,24,02-24
1247,2,2018,04,22,04-22
1248,2,2017,11,30,11-30
1249,2,2016,11,20,11-20
1250,2,2020,02,17,02-17
1251,2,2021,03,16,03-16
1252,2,2017,07,29,07-29
1253,2,2018,08,16,08-16
1254,2,2015,06,07,06-07
1255,2,2018,01,24,01-24
1256,2,2019,04,24,04-24
1257,2,2019,09,08,09-08
1258,2,2016,12,10,12-10
1259,2,2019,11,26,11-26
1260,2,2021,01,27,01-27
1261,2,2015,04,30,04-30
1262,2,2019,10,07,10-07
1263,2,2018,08,28,08-28
1264,2,2020,07,04,07-04
1265,2,2020,08,11,08-11
1266,2,2015,01,31,01-31
1267,2,2015,12,01,12-01
1268,2,2015,03,04,03-04
1269,2,2016,11,16,11-16
1270,2,2019,03,24,03-24
1271,2,2019,06,04,06-04
1272,2,2020,06,30,06-30
1273,2,2020,07,28,07-28
1274,2,2016,02,26,02-26
1275,2,2017,06,18,06-18
1276,2,2015,10,29,10-29
1277,2,2019,11,23,11-23
1278,2,2021,01,30,01-30
1279,2,2016,09,28,09-28
1280,2,2019,07,11,07-11
1281,2,2018,09,30,09-30
1282,2,2018,12,20,12-20
1283,2,2016,11,10,11-10
1284,2,2019,01,10,01-10
1285,2,2018,05,21,05-21
1286,2,2020,10,03,10-03
1287,2,2020,07,08,07-08
1288,2,2020,04,06,04-06
1289,2,2019,02,08,02-08
1290,2,2017,04,28,04-28
1291,2,2020,04,21,04-21
1292,2,2019,06,29,06-29
1293,2,2015,06,17,06-17
1294,2,2020,03,26,03-26
1295,2,2019,04,04,04-04
1296,2,2015,07,08,07-08
1297,2,2020,11,12,11-12
1298,2,2018,02,23,02-23
1299,2,2020,04,26,04-26
1300,2,2017,03,28,03-28
1301,2,2017,03,12,03-12
1302,2,2015,04,19,04-19
1303,2,2018,06,09,06-09
1304,2,2017,10,02,10-02
1305,2,2021,01,04,01-04
1306,2,2020,07,11,07-11
1307,2,2018,09,12,09-12
1308,2,2021,05,26,05-26
1309,2,2015,12,04,12-04
1310,2,2018,12,19,12-19
1311,2,2019,06,08,06-08
1312,2,2020,07,23,07-23
1313,2,2019,02,20,02-20
1314,2,2020,07,17,07-17
1315,2,2015,07,24,07-24
1316,2,2020,09,08,09-08
1317,2,2017,10,13,10-13
1318,2,2021,03,10,03-10
1319,2,2015,09,12,09-12
1320,2,2017,12,01,12-01
1321,2,2017,11,01,11-01
1322,2,2019,01,30,01-30
1323,2,2015,08,17,08-17
1324,2,2017,07,20,07-20
1325,2,2020,09,22,09-22
1326,2,2015,01,16,01-16
1327,2,2017,08,06,08-06
1328,2,2019,11,12,11-12
1329,2,2020,09,09,09-09
1330,2,2019,08,14,08-14
1331,2,2020,12,20,12-20
1332,2,2016,07,29,07-29
1333,2,2019,08,18,08-18
1334,2,2020,10,31,10-31
1335,2,2020,02,08,02-08
1336,2,2015,08,01,08-01
1337,2,2016,10,02,10-02
1338,2,2021,05,16,05-16
1339,2,2016,10,09,10-09
1340,2,2017,08,14,08-14
1341,2,2020,10,29,10-29
1342,2,2015,05,15,05-15
1343,2,2016,01,14,01-14
1344,2,2017,05,08,05-08
1345,2,2016,11,04,11-04
1346,2,2017,09,08,09-08
1347,2,2021,03,24,03-24
1348,2,2017,11,07,11-07
1349,2,2016,03,02,03-02
1350,2,2015,06,16,06-16
1351,2,2017,08,28,08-28
1352,2,2020,11,26,11-26
1353,2,2015,02,25,02-25
1354,2,2018,08,20,08-20
1355,2,2019,05,27,05-27
1356,2,2019,07,19,07-19
1357,2,2019,08,08,08-08
1358,2,2019,04,26,04-26
1359,2,2018,05,24,05-24
1360,2,2017,04,05,04-05
1361,2,2015,04,10,04-10
1362,2,2019,11,14,11-14
1363,2,2015,07,20,07-20
1364,2,2015,10,17,10-17
1365,2,2019,07,04,07-04
1366,2,2021,02,03,02-03
1367,2,2016,10,26,10-26
1368,2,2019,01,12,01-12
1369,2,2015,02,14,02-14
1370,2,2020,04,17,04-17
1371,2,2020,10,13,10-13
1372,2,2016,02,01,02-01
1373,2,2020,12,22,12-22
1374,2,2020,05,21,05-21
1375,2,2019,10,16,10-16
1376,2,2016,02,28,02-28
1377,2,2017,05,27,05-27
1378,2,2017,06,06,06-06
1379,2,2018,04,07,04-07
1380,2,2018,07,27,07-27
1381,2,2015,02,11,02-11
1382,2,2017,03,09,03-09
1383,2,2019,09,28,09-28
1384,2,2021,05,17,05-17
1385,2,2020,06,24,06-24
1386,2,2018,11,29,11-29
1387,2,2021,04,30,04-30
1388,2,2016,09,08,09-08
1389,2,2019,09,21,09-21
1390,2,2019,11,02,11-02
1391,2,2017,10,25,10-25
1392,2,2016,04,18,04-18
1393,2,2016,05,28,05-28
1394,2,2015,02,21,02-21
1395,2,2020,12,02,12-02
1396,2,2021,01,01,01-01
1397,2,2020,07,25,07-25
1398,2,2017,12,13,12-13
1399,2,2018,11,23,11-23
1400,2,2016,12,13,12-13
1401,2,2015,05,10,05-10
1402,2,2015,07,31,07-31
1403,2,2017,04,01,04-01
1404,2,2019,10,10,10-10
1405,2,2015,10,09,10-09
1406,2,2020,03,03,03-03
1407,2,2016,03,04,03-04
1408,2,2020,02,05,02-05
1409,2,2020,04,27,04-27
1410,2,2016,03,05,03-05
1411,2,2016,07,25,07-25
1412,2,2016,11,23,11-23
1413,2,2015,12,29,12-29
1414,2,2017,09,25,09-25
1415,2,2016,09,10,09-10
1416,2,2015,10,31,10-31
1417,2,2020,04,23,04-23
1418,2,2016,06,28,06-28
1419,2,2020,07,15,07-15
1420,2,2020,04,13,04-13
1421,2,2019,05,26,05-26
1422,2,2020,05,04,05-04
1423,2,2017,07,06,07-06
1424,2,2017,11,06,11-06
1425,2,2020,03,12,03-12
1426,2,2015,08,16,08-16
1427,2,2016,04,07,04-07
1428,2,2021,01,13,01-13
1429,2,2017,02,18,02-18
1430,2,2019,02,16,02-16
1431,2,2021,03,07,03-07
1432,2,2018,03,30,03-30
1433,2,2020,05,24,05-24
1434,2,2016,06,03,06-03
1435,2,2017,05,14,05-14
1436,2,2017,11,29,11-29
1437,2,2017,04,27,04-27
1438,2,2018,12,23,12-23
1439,2,2017,09,28,09-28
1440,2,2021,02,28,02-28
1441,2,2018,06,17,06-17
1442,2,2019,08,04,08-04
1443,2,2016,02,19,02-19
1444,2,2018,04,13,04-13
1445,2,2019,09,20,09-20
1446,2,2017,01,21,01-21
1447,2,2016,05,25,05-25
1448,2,2020,03,09,03-09
1449,2,2018,05,31,05-31
1450,2,2015,04,14,04-14
1451,2,2020,03,11,03-11
1452,2,2016,04,05,04-05
1453,2,2020,04,08,04-08
1454,2,2018,03,22,03-22
1455,2,2021,06,08,06-08
1456,2,2020,07,31,07-31
1457,2,2019,11,03,11-03
1458,2,2019,08,26,08-26
1459,2,2017,05,02,05-02
1460,2,2019,09,30,09-30
1461,2,2018,12,07,12-07
1462,2,2015,09,18,09-18
1463,2,2019,02,03,02-03
1464,2,2018,11,19,11-19
1465,2,2017,09,24,09-24
1466,2,2015,01,09,01-09
1467,2,2019,01,08,01-08
1468,2,2016,11,02,11-02
1469,2,2017,01,03,01-03
1470,2,2016,01,10,01-10
1471,2,2015,03,03,03-03
1472,2,2015,07,01,07-01
1473,2,2018,07,31,07-31
1474,2,2021,01,24,01-24
1475,2,2016,06,02,06-02
1476,2,2020,03,04,03-04
1477,2,2015,06,05,06-05
1478,2,2017,08,10,08-10
1479,2,2019,05,18,05-18
1480,2,2016,04,09,04-09
1481,2,2018,10,02,10-02
1482,2,2018,08,23,08-23
1483,2,2017,07,10,07-10
1484,2,2020,04,30,04-30
1485,2,2019,02,04,02-04
1486,2,2017,05,24,05-24
1487,2,2019,07,22,07-22
1488,2,2017,01,05,01-05
1489,2,2018,06,05,06-05
1490,2,2019,09,07,09-07
1491,2,2017,03,03,03-03
1492,2,2019,01,29,01-29
1493,2,2020,12,16,12-16
1494,2,2018,11,02,11-02
1495,2,2015,12,08,12-08
1496,2,2016,05,30,05-30
1497,2,2021,01,19,01-19
1498,2,2016,03,22,03-22
1499,2,2020,12,23,12-23
1500,2,2021,02,18,02-18
1501,2,2017,02,25,02-25
1502,2,2018,11,17,11-17
1503,2,2015,11,18,11-18
1504,2,2015,11,23,11-23
1505,2,2017,09,04,09-04
1506,2,2021,06,18,06-18
1507,2,2020,11,24,11-24
1508,2,2015,11,16,11-16
1509,2,2019,11,25,11-25
1510,2,2019,09,11,09-11
1511,2,2018,05,30,05-30
1512,2,2016,10,01,10-01
1513,2,2019,12,25,12-25
1514,2,2017,09,30,09-30
1515,2,2016,10,21,10-21
1516,2,2017,11,27,11-27
1517,2,2015,05,30,05-30
1518,2,2017,12,05,12-05
1519,2,2016,01,12,01-12
1520,2,2017,12,11,12-11
1521,2,2020,12,31,12-31
1522,2,2020,05,08,05-08
1523,2,2020,09,30,09-30
1524,2,2015,04,18,04-18
1525,2,2018,02,16,02-16
1526,2,2018,12,17,12-17
1527,2,2016,01,04,01-04
1528,2,2018,07,19,07-19
1529,2,2020,11,29,11-29
1530,2,2015,07,14,07-14
1531,2,2017,12,09,12-09
1532,2,2018,06,08,06-08
1533,2,2016,07,26,07-26
1534,2,2018,07,06,07-06
1535,2,2020,03,28,03-28
1536,2,2020,08,24,08-24
1537,2,2015,01,02,01-02
1538,2,2016,06,15,06-15
1539,2,2017,10,21,10-21
1540,2,2021,03,23,03-23
1541,2,2019,07,15,07-15
1542,2,2020,04,12,04-12
1543,2,2018,08,30,08-30
1544,2,2015,05,11,05-11
1545,2,2018,12,13,12-13
1546,2,2019,02,13,02-13
1547,2,2015,01,18,01-18
1548,2,2019,01,24,01-24
1549,2,2017,11,24,11-24
1550,2,2020,04,10,04-10
1551,2,2018,12,21,12-21
1552,2,2016,06,20,06-20
1553,2,2016,07,13,07-13
1554,2,2018,06,11,06-11
1555,2,2017,01,14,01-14
1556,2,2016,07,02,07-02
1557,2,2019,01,01,01-01
1558,2,2016,10,11,10-11
1559,2,2019,06,13,06-13
1560,2,2021,02,13,02-13
1561,2,2016,04,11,04-11
1562,2,2020,08,14,08-14
1563,2,2019,12,11,12-11
1564,2,2020,06,10,06-10
1565,2,2017,04,09,04-09
1566,2,2021,04,18,04-18
1567,2,2018,07,14,07-14
1568,2,2020,03,07,03-07
1569,2,2015,01,22,01-22
1570,2,2020,12,07,12-07
1571,2,2016,09,27,09-27
1572,2,2019,03,21,03-21
1573,2,2020,01,08,01-08
1574,2,2015,01,25,01-25
1575,2,2018,04,21,04-21
1576,2,2015,08,06,08-06
1577,2,2019,04,17,04-17
1578,2,2017,03,11,03-11
1579,2,2017,08,30,08-30
1580,2,2017,08,16,08-16
1581,2,2015,09,28,09-28
1582,2,2015,05,14,05-14
1583,2,2018,08,29,08-29
1584,2,2016,11,21,11-21
1585,2,2018,11,13,11-13
1586,2,2019,09,19,09-19
1587,2,2018,08,02,08-02
1588,2,2017,12,23,12-23
1589,2,2021,03,03,03-03
1590,2,2016,08,07,08-07
1591,2,2018,02,08,02-08
1592,2,2015,12,30,12-30
1593,2,2019,06,12,06-12
1594,2,2020,03,21,03-21
1595,2,2018,07,13,07-13
1596,2,2020,06,12,06-12
1597,2,2018,09,18,09-18
1598,2,2018,10,21,10-21
1599,2,2017,05,13,05-13
1600,2,2019,12,06,12-06
1601,2,2017,08,05,08-05
1602,2,2016,01,08,01-08
1603,2,2016,01,15,01-15
1604,2,2019,02,27,02-27
1605,2,2015,01,29,01-29
1606,2,2020,07,06,07-06
1607,2,2020,07,02,07-02
1608,2,2018,10,01,10-01
1609,2,2021,02,19,02-19
1610,2,2015,08,30,08-30
1611,2,2018,12,15,12-15
1612,2,2017,06,19,06-19
1613,2,2016,06,06,06-06
1614,2,2015,12,09,12-09
1615,2,2015,03,26,03-26
1616,2,2018,12,25,12-25
1617,2,2018,03,10,03-10
1618,2,2017,06,21,06-21
1619,2,2020,12,03,12-03
1620,2,2018,05,04,05-04
1621,2,2017,03,07,03-07
1622,2,2016,10,03,10-03
1623,2,2015,09,20,09-20
1624,2,2016,07,24,07-24
1625,2,2016,02,09,02-09
1626,2,2018,01,31,01-31
1627,2,2015,08,04,08-04
1628,2,2021,05,11,05-11
1629,2,2017,08,08,08-08
1630,2,2016,04,22,04-22
1631,2,2016,02,15,02-15
1632,2,2020,03,02,03-02
1633,2,2020,01,10,01-10
1634,2,2019,07,21,07-21
1635,2,2015,10,18,10-18
1636,2,2018,10,19,10-19
1637,2,2019,02,28,02-28
1638,2,2018,04,30,04-30
1639,2,2018,02,22,02-22
1640,2,2021,02,16,02-16
1641,2,2016,08,12,08-12
1642,2,2018,10,11,10-11
1643,2,2020,05,18,05-18
1644,2,2015,07,29,07-29
1645,2,2017,10,12,10-12
1646,2,2016,08,31,08-31
1647,2,2016,03,18,03-18
1648,2,2016,07,06,07-06
1649,2,2019,11,22,11-22
1650,2,2019,06,26,06-26
1651,2,2019,02,19,02-19
1652,2,2017,08,03,08-03
1653,2,2020,10,15,10-15
1654,2,2015,09,26,09-26
1655,2,2015,01,13,01-13
1656,2,2017,02,20,02-20
1657,2,2017,02,01,02-01
1658,2,2015,02,07,02-07
1659,2,2019,07,28,07-28
1660,2,2016,05,01,05-01
1661,2,2018,08,04,08-04
1662,2,2019,03,28,03-28
1663,2,2018,11,20,11-20
1664,2,2020,02,20,02-20
1665,2,2020,07,13,07-13
1666,2,2017,03,15,03-15
1667,2,2019,02,18,02-18
1668,2,2020,01,13,01-13
1669,2,2019,03,22,03-22
1670,2,2019,08,16,08-16
1671,2,2019,12,26,12-26
1672,2,2015,08,11,08-11
1673,2,2021,06,17,06-17
1674,2,2018,05,03,05-03
1675,2,2018,05,10,05-10
1676,2,2020,03,19,03-19
1677,2,2016,09,04,09-04
1678,2,2015,05,31,05-31
1679,2,2018,02,28,02-28
1680,2,2019,12,07,12-07
1681,2,2020,05,31,05-31
1682,2,2018,09,20,09-20
1683,2,2017,02,27,02-27
1684,2,2021,05,09,05-09
1685,2,2018,11,07,11-07
1686,2,2016,01,13,01-13
1687,2,2016,10,16,10-16
1688,2,2015,04,05,04-05
1689,2,2020,10,21,10-21
1690,2,2021,02,10,02-10
1691,2,2019,04,28,04-28
1692,2,2020,07,20,07-20
1693,2,2019,10,03,10-03
1694,2,2017,08,17,08-17
1695,2,2017,01,10,01-10
1696,2,2015,06,25,06-25
1697,2,2017,04,10,04-10
1698,2,2017,06,28,06-28
1699,2,2015,06,21,06-21
1700,2,2016,06,11,06-11
1701,2,2018,02,02,02-02
1702,2,2015,10,12,10-12
1703,2,2020,07,21,07-21
1704,2,2021,02,09,02-09
1705,2,2021,03,19,03-19
1706,2,2019,04,25,04-25
1707,2,2017,08,31,08-31
1708,2,2019,10,20,10-20
1709,2,2020,02,12,02-12
1710,2,2015,09,19,09-19
1711,2,2019,05,16,05-16
1712,2,2018,01,04,01-04
1713,2,2018,03,01,03-01
1714,2,2018,10,04,10-04
1715,2,2020,11,16,11-16
1716,2,2015,03,30,03-30
1717,2,2017,01,29,01-29
1718,2,2019,11,18,11-18
1719,2,2019,06,22,06-22
